dates,cpi,core_cpi,gdp,real_gdp,fedfunds,emratio,wti_oil,divisia_m3,gscpi,gov_total,gov_current,total_par,total_market,private_par,private_market
2008.01,212.77,214.04,3676.63,4210.75,3.18,62.8,97.95,1056,-0.3,1248,760.88,9205.51,9624.23,4392.23,4546.93
2008.02,215.54,214.97,3716.43,4235.82,2.09,62.5,123.96,1083.77,0.2,1341.7,849.36,9391.07,9936.53,4659.31,4879.49
2008.03,218.86,216.36,3724.75,4213.57,1.94,62,117.98,1091.97,0.4,1309.06,798.53,9488.76,9844.42,4844.89,4992.16
2008.04,213.85,216.89,3652.05,4121.34,0.51,61.4,58.37,1098.87,-0.5,1363.1,798.22,10081.53,10474.13,5392.44,5538.26
2009.01,212.38,217.8,3607.73,4074.57,0.18,60.3,42.96,1091.77,-0.9,1383.36,830.69,10664.35,11389.06,5890.84,6170.87
2009.02,213.51,218.91,3595.31,4067.29,0.18,59.6,59.54,1094.97,0.1,1420.18,881.17,11080.89,11702.28,6285.88,6544.12
2009.03,215.34,219.56,3612.22,4081.57,0.16,59,68.2,1097,-0.4,1410.3,883.23,11512.05,11938.62,6531.99,6686.53
2009.04,217.03,220.68,3662.81,4125.69,0.12,58.5,76.07,1077.33,-0.7,1423.28,890.16,11871.93,12338.69,6750.82,6908.32
2010.01,217.37,220.72,3691.15,4145.68,0.13,58.5,78.63,1057.77,-0.6,1451.24,927.64,12234.34,12675.77,6990.13,7159.59
2010.02,217.3,220.99,3745.05,4185.79,0.19,58.6,77.89,1044.53,0.2,1468.14,936.43,12720.64,13103.63,7449.15,7605.2
2010.03,217.93,221.53,3785.4,4218.07,0.19,58.5,76.17,1041.7,0.1,1456.35,948.11,13144.02,13769.82,7838.61,8113.35
2010.04,219.7,222.11,3827.37,4240.22,0.19,58.3,85.03,1059.87,0.5,1458.7,952.45,13560.03,14405.25,8200.75,8590.73
2011.01,222.04,223.16,3837.86,4230.16,0.16,58.4,93.98,1060.73,0.6,1462,952.82,14005.68,14573.23,8379.06,8622.12
2011.02,224.57,224.2,3889.38,4258.78,0.09,58.3,102.55,1071.17,0.9,1476.62,962.34,14250.84,14705.3,8310.65,8465.3
2011.03,226.03,225.73,3911.92,4257.83,0.08,58.3,89.71,1091.73,0.5,1463.22,945.96,14343.38,15005.08,8157.7,8368.29
2011.04,227.05,226.94,3960.56,4305.65,0.07,58.5,94.06,1096.07,-0.3,1469.89,946.63,14822.78,15889.52,8480.47,8768.51
2012.01,228.33,228.13,4017.2,4341.75,0.1,58.5,102.89,1100.4,0.2,1458.93,943.59,15229.86,16377.14,8811.08,9129.75
2012.02,228.81,229.25,4051.78,4361.13,0.15,58.5,93.48,1112.67,-0.2,1456.3,943.22,15587.78,16638.17,9173.01,9501.89
2012.03,229.84,230.29,4079.89,4367.41,0.14,58.5,92.27,1123.17,-0.7,1458.54,944.33,15852.99,17109.45,9409.15,9792.21
2012.04,231.37,231.36,4105.1,4372.46,0.16,58.7,88.16,1141.13,-0.1,1468.14,942.38,16114.49,17320.99,9683.65,10089.36
2013.01,232.3,232.53,4162.05,4415.6,0.14,58.6,94.35,1166.73,-0.2,1458.58,939.7,16412.02,17502.82,9904.57,10291.36
2013.02,232.04,233.06,4182.17,4427.42,0.12,58.6,94.22,1169.5,-0.5,1461.15,944.01,16762.5,17821.32,10111.82,10477.43
2013.03,233.3,234.31,4238.46,4465.11,0.08,58.7,105.82,1177.83,-0.7,1466.07,943.43,16738.58,17392.05,9986.41,10172.05
2013.04,234.16,235.35,4298,4504.04,0.09,58.5,97.34,1188.83,-0.3,1467.24,943.12,16877.65,17380.07,9989.13,10116.88
2014.01,235.62,236.26,4299.43,4488.49,0.07,58.8,98.75,1198.33,-0.6,1476.08,954.85,17287.38,17724.46,10123.23,10227.51
2014.02,236.87,237.48,4379.63,4546.48,0.09,58.9,103.35,1212.23,-0.6,1493.24,969.02,17524.3,18011.05,10239,10322.98
2014.03,237.48,238.46,4451.06,4601.74,0.09,59,97.78,1221.97,-0.7,1510.97,982.91,17612.23,18175.57,10206.96,10298.86
2014.04,236.89,239.41,4478.02,4625.01,0.1,59.3,73.16,1225.9,-0.6,1519.36,981.66,17836.8,18433.99,10359.33,10425.67
2015.01,235.35,240.25,4515.88,4666.66,0.11,59.2,48.54,1241.33,-0.6,1527.16,992.55,18076.43,18923.87,10532.01,10637.99
2015.02,236.96,241.7,4569.95,4695.56,0.12,59.4,57.85,1261.43,-0.3,1514.91,997.69,18153.49,18996.74,10627.53,10761.98
